Season,Site,Transect,Transect#,LAT,LONG,Dist_coast_km,Water_Depth_cm,Soil_Depth_cm,Soil_Type,Mat_Type,SW_Cond_mS.cm,STDEV_SW_Cond_mS.cm,PW_Cond_mS.cm,STDEV_PW_Cond_mS.cm,Peri_Biovol_mL.m2,STDEV_Peri_Biovol_mL.m2,DryWt_g.m2,AFDW_g.m2,AshWt_g.m2,STDEV_DryWt_g.m2,STDEV_AFDW_g.m2,STDEV_AshWt_g.m2,Prcnt_Organic,Prcnt_Mineral,Chla_ug.g.drywt,STDEV_Chla_ug.g.drywt,TP_mcrg.g,STDEV_TP_mcrg.g
Wet2015,MPR_1,MPR,1,25.329583,-80.799417,16.39,18.3,21,2,1,0.225,0.069,0.358,-9999,7124.4,647.7,688.2,172.3,516.0,277.1,59.2,218.4,25.0,75.0,131.3,71.2,64.1,41.3
Wet2015,MPR_2,MPR,1,25.321750,-80.797778,15.53,26.3,21,2,1,0.286,0.002,-9999,-9999,11226.3,1978.7,1319.9,394.8,925.1,304.3,81.7,228.8,29.9,70.1,121.3,20.0,72.6,28.7
Wet2015,MPR_3,MPR,1,25.314333,-80.797861,14.71,28.7,11,2,1,0.232,0.005,0.318,0.052,4965.5,373.9,618.7,199.5,419.2,153.8,59.8,96.2,32.2,67.8,139.2,19.9,72.3,14.6
Wet2015,MPR_4,MPR,1,25.306917,-80.797861,13.90,29.3,26,2,1,0.196,0.034,-9999,-9999,6908.5,1978.7,837.8,213.9,623.9,133.2,41.0,94.7,25.5,74.5,81.6,39.3,67.9,11.8
Wet2015,MPR_5,MPR,1,25.299778,-80.797944,13.16,34.7,11,2,1,0.187,0.004,0.282,0.062,6476.7,1295.3,570.1,203.1,367.0,237.3,47.4,195.6,35.6,64.4,297.3,187.4,114.6,88.2
Wet2015,MPR_6,MPR,1,25.293250,-80.797667,12.44,42.7,14,2,1,0.243,0.046,0.299,0.111,10578.6,747.9,849.1,630.1,219.1,332.9,685.4,364.0,74.2,25.8,200.9,69.8,92.7,36.6
Wet2015,MPR_7,MPR,1,25.285833,-80.797861,11.56,46.3,37,2,1,0.249,0.008,1.023,0.377,10794.5,1978.7,300.0,132.7,167.3,12.5,9.1,8.6,44.2,55.8,410.4,38.8,125.2,23.4
Wet2015,MPR_8,MPR,1,25.278639,-80.797917,10.77,46.0,34,2,1,0.261,0.001,2.611,2.124,10794.5,747.9,434.0,241.5,192.5,35.3,19.1,17.8,55.6,44.4,584.5,36.2,239.4,25.3
Wet2015,MPR_9,MPR,1,25.264056,-80.799472,9.15,32.3,97,3,5,0.584,0.005,1.410,0.547,-9999,-9999,13.4,11.6,1.8,2.6,2.1,0.6,86.9,13.1,1583.1,218.3,573.2,199.6
Wet2015,MPR_10,MPR,1,25.253972,-80.797667,8.09,10.5,1,1,0,1.452,0.002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Wet2015,MPR_11,MPR,1,25.240194,-80.809806,6.37,22.0,101,3,5,1.195,0.016,-9999,-9999,-9999,-9999,14.6,12.6,2.0,8.2,7.1,1.1,86.4,13.6,1935.8,631.7,509.5,92.9
Wet2015,MPR_12,MPR,1,25.230583,-80.825694,7.75,25.0,101,3,4,5.790,0.030,9.677,0.474,4965.5,1629.9,113.8,93.1,20.7,82.6,80.9,3.2,81.8,18.2,1244.8,491.8,523.9,236.4
Wet2015,MPR_13,MPR,1,25.223694,-80.837139,5.42,33.7,101,3,5,7.287,0.021,11.207,0.045,-9999,-9999,33.2,27.1,6.1,7.2,6.4,0.9,81.7,18.3,836.4,141.7,555.9,177.2
Wet2015,SAL_1N,SAL1,2,25.315200,-80.74263,16.70,32.0,26,2,1,0.618,0.043,1.626,0.281,14248.7,2243.6,874.7,291.0,583.7,129.1,37.3,93.1,33.3,66.7,193.6,34.7,69.7,34.7
Wet2015,SAL_1C,SAL1,2,25.273250,-80.744833,12.01,45.7,22,2,1,0.782,0.015,1.751,0.220,9067.4,1295.3,415.4,143.7,271.7,65.0,14.0,61.1,34.6,65.4,214.2,83.8,76.7,22.1
Wet2015,SAL_1S,SAL1,2,25.262717,-80.747117,10.84,45.3,49,2,1,0.986,0.008,1.552,0.039,9067.4,4670.4,547.8,177.5,370.2,397.6,127.8,269.8,32.4,67.6,185.7,37.5,68.9,13.8
Wet2015,SAL_1SS1,SAL1,2,25.239783,-80.750783,9.77,55.0,67,3,3,0.825,0.005,1.846,0.093,2590.7,0.0,34.0,28.8,5.1,27.1,22.9,4.2,84.9,15.1,762.6,496.5,344.7,50.5
Wet2015,SAL_1SS2,SAL1,2,25.229917,-80.755217,7.76,35.0,101,3,4,1.359,0.050,12.530,1.094,2590.7,1295.3,47.9,40.4,7.5,40.8,35.8,5.0,84.3,15.7,1082.1,118.3,367.7,36.0
Wet2015,SAL_2N,SAL2,4,25.262967,-80.611967,6.94,18.7,80,2,1,0.768,0.022,16.000,0.500,4749.6,747.9,339.1,131.7,207.4,29.1,14.9,15.9,38.8,61.2,295.9,90.0,60.7,37.2
Wet2015,SAL_2C,SAL2,4,25.252583,-80.608533,5.48,20.0,93,2,1,1.321,0.040,31.000,0.700,6908.5,747.9,326.5,103.5,223.0,95.1,26.0,69.5,31.7,68.3,347.5,21.0,115.6,34.3
Wet2015,SAL_2S,SAL2,4,25.241000,-80.604067,4.40,31.7,93,2,1,5.227,0.055,26.000,3.700,-9999,-9999,33.9,6.2,27.8,28.6,4.8,23.8,18.2,81.8,160.0,55.8,63.4,7.9
Wet2015,SAL_2SS1,SAL2,4,25.230933,-80.603217,3.15,11.0,101,2,1,5.093,0.136,37.543,4.658,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Wet2015,SAL_3N,SAL3,5,25.277750,-80.555683,7.22,21.3,101,2,1,0.688,0.079,15.357,1.736,8203.8,2696.5,488.7,158.1,330.5,214.2,71.2,143.0,32.4,67.6,218.9,11.0,53.8,11.2
Wet2015,SAL_3C,SAL3,5,25.266783,-80.555933,6.01,40.3,101,2,1,1.712,0.169,22.757,5.714,-9999,-9999,78.4,27.4,51.0,12.3,1.8,11.5,34.9,65.1,210.7,54.4,112.5,23.3
Wet2015,SAL_3S,SAL3,5,25.255467,-80.555683,4.76,13.7,38,2,1,2.573,0.066,32.967,0.570,-9999,-9999,140.7,24.5,116.2,15.4,3.2,12.3,17.4,82.6,63.9,33.5,66.8,8.0
Wet2015,SAL_4N,SAL4,6,25.273283,-80.473467,6.81,34.0,101,2,1,0.590,0.012,1.580,0.076,10794.5,1495.7,1018.0,284.7,733.4,116.8,33.7,83.7,28.0,72.0,210.7,83.4,76.5,10.0
Wet2015,SAL_4C,SAL4,6,25.252717,-80.470083,4.68,26.7,101,2,0,2.064,0.015,23.060,3.078,-9999,-9999,54.2,18.2,35.9,22.8,6.3,16.5,33.7,66.3,810.6,482.0,179.6,20.6
Wet2015,SAL_4S,SAL4,6,25.246117,-80.467317,2.91,28.7,101,2,0,17.110,0.049,37.590,12.220,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Wet2015,SAL_5W,SAL5,7,25.330117,-80.424617,5.00,27.7,73,2,1,1.102,0.013,14.200,3.320,9499.1,1978.7,1274.0,328.6,945.4,519.1,107.0,412.3,25.8,74.2,100.0,11.2,58.1,19.6
Wet2015,SAL_5N,SAL5,7,25.3167833,-80.40525,2.90,67.7,101,2,1,6.447,0.193,19.940,5.200,-9999,-9999,80.6,23.2,57.4,12.2,3.3,9.1,28.7,71.3,187.8,60.6,95.1,18.4
Wet2015,SAL_5C,SAL5,7,25.3114167,-80.40125,2.28,52.7,101,2,1,9.207,0.237,29.590,8.460,-9999,-9999,103.7,22.6,81.1,24.9,4.1,20.8,21.8,78.2,101.9,18.8,78.5,10.2
Wet2015,SAL_5S,SAL5,7,25.306217,-80.402533,1.81,38.7,101,2,1,4.129,0.138,35.050,8.060,-9999,-9999,176.4,30.1,146.2,15.3,2.1,13.3,17.1,82.9,48.3,5.0,63.5,6.4
Wet2015,SAL_6N,SAL6,7,25.251883,-80.667933,6.79,21.0,69,2,1,0.332,0.012,1.832,0.162,9067.4,1295.3,660.1,183.3,476.8,374.3,89.5,285.4,27.8,72.2,127.3,48.9,165.7,161.9
Wet2015,SAL_6S,SAL6,3,25.231183,-80.664467,4.50,23.7,100,4,4,2.301,0.130,34.243,3.283,3886.0,1295.3,168.8,61.7,107.1,80.2,28.8,52.4,36.6,63.4,474.2,122.8,207.5,28.4
Wet2015,SAL_6SS1,SAL6,3,25.218750,-80.663617,3.18,30.3,90,4,1,5.057,0.045,32.720,4.076,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Wet2015,SAL_6SS2,SAL6,3,25.208117,-80.660683,1.98,31.7,101,2,4,8.447,0.161,21.443,1.149,3886.0,1295.3,168.1,129.6,38.6,71.5,62.9,18.1,77.1,22.9,731.9,242.1,367.3,85.7
