Sampling_Event,Date,Mesocosm,Treatment,Species,Abundance
T3,2016-02-19,4,FP,Amphora.sulcata,0.000
T3,2016-02-19,19,FP,Amphora.sulcata,0.000
T3,2016-02-19,9,S,Amphora.sulcata,0.031
T3,2016-02-19,13,S,Amphora.sulcata,0.000
T3,2016-02-19,21,S,Amphora.sulcata,0.000
T3,2016-02-19,12,SP,Amphora.sulcata,0.000
T3,2016-02-19,16,SP,Amphora.sulcata,0.000
T3,2016-02-19,23,SP,Amphora.sulcata,0.000
T4,2016-07-10,1,F,Amphora.sulcata,0.000
T4,2016-07-10,6,F,Amphora.sulcata,0.000
T4,2016-07-10,18,F,Amphora.sulcata,0.000
T4,2016-07-10,8,FP,Amphora.sulcata,0.000
T4,2016-07-10,19,FP,Amphora.sulcata,0.000
T4,2016-07-10,9,S,Amphora.sulcata,0.142
T4,2016-07-10,13,S,Amphora.sulcata,0.000
T4,2016-07-10,21,S,Amphora.sulcata,0.042
T4,2016-07-10,11,SP,Amphora.sulcata,0.015
T4,2016-07-10,16,SP,Amphora.sulcata,0.000
T1,2015-05-22,1,F,Amphora.veneta,0.000
T1,2015-05-22,17,F,Amphora.veneta,0.000
T1,2015-05-22,18,F,Amphora.veneta,0.000
T1,2015-05-22,4,FP,Amphora.veneta,0.000
T1,2015-05-22,8,FP,Amphora.veneta,0.000
T1,2015-05-22,19,FP,Amphora.veneta,0.000
T1,2015-05-22,9,S,Amphora.veneta,0.000
T1,2015-05-22,14,S,Amphora.veneta,0.000
T1,2015-05-22,21,S,Amphora.veneta,0.000
T1,2015-05-22,12,SP,Amphora.veneta,0.000
T1,2015-05-22,16,SP,Amphora.veneta,0.000
T1,2015-05-22,24,SP,Amphora.veneta,0.000
T2,2015-08-18,5,F,Amphora.veneta,0.000
T2,2015-08-18,6,F,Amphora.veneta,0.000
T2,2015-08-18,18,F,Amphora.veneta,0.000
T2,2015-08-18,4,FP,Amphora.veneta,0.000
T2,2015-08-18,7,FP,Amphora.veneta,0.000
T2,2015-08-18,19,FP,Amphora.veneta,0.000
T2,2015-08-18,9,S,Amphora.veneta,0.000
T2,2015-08-18,10,S,Amphora.veneta,0.000
T2,2015-08-18,13,S,Amphora.veneta,0.000
T2,2015-08-18,12,SP,Amphora.veneta,0.003
T2,2015-08-18,15,SP,Amphora.veneta,0.000
T2,2015-08-18,24,SP,Amphora.veneta,0.000
T3,2016-02-19,1,F,Amphora.veneta,0.000
T3,2016-02-19,6,F,Amphora.veneta,0.000
T3,2016-02-19,18,F,Amphora.veneta,0.000
T3,2016-02-19,4,FP,Amphora.veneta,0.004
T3,2016-02-19,19,FP,Amphora.veneta,0.000
T3,2016-02-19,9,S,Amphora.veneta,0.000
T3,2016-02-19,13,S,Amphora.veneta,0.000
T3,2016-02-19,21,S,Amphora.veneta,0.000
T3,2016-02-19,12,SP,Amphora.veneta,0.000
T3,2016-02-19,16,SP,Amphora.veneta,0.000
T3,2016-02-19,23,SP,Amphora.veneta,0.000
T4,2016-07-10,1,F,Amphora.veneta,0.000
T4,2016-07-10,6,F,Amphora.veneta,0.000
T4,2016-07-10,18,F,Amphora.veneta,0.000
T4,2016-07-10,8,FP,Amphora.veneta,0.000
T4,2016-07-10,19,FP,Amphora.veneta,0.000
T4,2016-07-10,9,S,Amphora.veneta,0.000
T4,2016-07-10,13,S,Amphora.veneta,0.000
T4,2016-07-10,21,S,Amphora.veneta,0.000
T4,2016-07-10,11,SP,Amphora.veneta,0.000
T4,2016-07-10,16,SP,Amphora.veneta,0.000
T1,2015-05-22,1,F,Brachysira.microcephela,0.034
T1,2015-05-22,17,F,Brachysira.microcephela,0.074
T1,2015-05-22,18,F,Brachysira.microcephela,0.166
T1,2015-05-22,4,FP,Brachysira.microcephela,0.063
T1,2015-05-22,8,FP,Brachysira.microcephela,0.095
T1,2015-05-22,19,FP,Brachysira.microcephela,0.142
T1,2015-05-22,9,S,Brachysira.microcephela,0.225
T1,2015-05-22,14,S,Brachysira.microcephela,0.042
T1,2015-05-22,21,S,Brachysira.microcephela,0.093
T1,2015-05-22,12,SP,Brachysira.microcephela,0.047
T1,2015-05-22,16,SP,Brachysira.microcephela,0.034
T1,2015-05-22,24,SP,Brachysira.microcephela,0.008
T2,2015-08-18,5,F,Brachysira.microcephela,0.153
T2,2015-08-18,6,F,Brachysira.microcephela,0.691
T2,2015-08-18,18,F,Brachysira.microcephela,0.110
T2,2015-08-18,4,FP,Brachysira.microcephela,0.011
T2,2015-08-18,7,FP,Brachysira.microcephela,0.044
T2,2015-08-18,19,FP,Brachysira.microcephela,0.007
T2,2015-08-18,9,S,Brachysira.microcephela,0.093
T2,2015-08-18,10,S,Brachysira.microcephela,0.096
T2,2015-08-18,13,S,Brachysira.microcephela,0.082
T2,2015-08-18,12,SP,Brachysira.microcephela,0.000
T2,2015-08-18,15,SP,Brachysira.microcephela,0.020
T2,2015-08-18,24,SP,Brachysira.microcephela,0.000
T3,2016-02-19,1,F,Brachysira.microcephela,0.076
T3,2016-02-19,6,F,Brachysira.microcephela,0.602
T3,2016-02-19,18,F,Brachysira.microcephela,0.208
T3,2016-02-19,4,FP,Brachysira.microcephela,0.000
T3,2016-02-19,19,FP,Brachysira.microcephela,0.004
T3,2016-02-19,9,S,Brachysira.microcephela,0.000
T3,2016-02-19,13,S,Brachysira.microcephela,0.000
T3,2016-02-19,21,S,Brachysira.microcephela,0.000
T3,2016-02-19,12,SP,Brachysira.microcephela,0.004
T3,2016-02-19,16,SP,Brachysira.microcephela,0.002
T3,2016-02-19,23,SP,Brachysira.microcephela,0.000
T4,2016-07-10,1,F,Brachysira.microcephela,0.015
T4,2016-07-10,6,F,Brachysira.microcephela,0.809
T4,2016-07-10,18,F,Brachysira.microcephela,0.058
T4,2016-07-10,8,FP,Brachysira.microcephela,0.002
T4,2016-07-10,19,FP,Brachysira.microcephela,0.140
T4,2016-07-10,9,S,Brachysira.microcephela,0.004
T4,2016-07-10,13,S,Brachysira.microcephela,0.000
T4,2016-07-10,21,S,Brachysira.microcephela,0.000
T4,2016-07-10,11,SP,Brachysira.microcephela,0.022
T4,2016-07-10,16,SP,Brachysira.microcephela,0.002
T1,2015-05-22,1,F,Caloneis.bacillum,0.000
T1,2015-05-22,17,F,Caloneis.bacillum,0.042
T1,2015-05-22,18,F,Caloneis.bacillum,0.000
T1,2015-05-22,4,FP,Caloneis.bacillum,0.000
T1,2015-05-22,8,FP,Caloneis.bacillum,0.000
T1,2015-05-22,19,FP,Caloneis.bacillum,0.000
T1,2015-05-22,9,S,Caloneis.bacillum,0.000
T1,2015-05-22,14,S,Caloneis.bacillum,0.000
T1,2015-05-22,21,S,Caloneis.bacillum,0.000
T1,2015-05-22,12,SP,Caloneis.bacillum,0.000
T1,2015-05-22,16,SP,Caloneis.bacillum,0.000
T1,2015-05-22,24,SP,Caloneis.bacillum,0.000
T2,2015-08-18,5,F,Caloneis.bacillum,0.000
T2,2015-08-18,6,F,Caloneis.bacillum,0.011
T2,2015-08-18,18,F,Caloneis.bacillum,0.000
T2,2015-08-18,4,FP,Caloneis.bacillum,0.000
T2,2015-08-18,7,FP,Caloneis.bacillum,0.000
T2,2015-08-18,19,FP,Caloneis.bacillum,0.000
T2,2015-08-18,9,S,Caloneis.bacillum,0.000
T2,2015-08-18,10,S,Caloneis.bacillum,0.000
T2,2015-08-18,13,S,Caloneis.bacillum,0.000
T2,2015-08-18,12,SP,Caloneis.bacillum,0.000
T2,2015-08-18,15,SP,Caloneis.bacillum,0.000
T2,2015-08-18,24,SP,Caloneis.bacillum,0.000
T3,2016-02-19,1,F,Caloneis.bacillum,0.000
T3,2016-02-19,6,F,Caloneis.bacillum,0.004
T3,2016-02-19,18,F,Caloneis.bacillum,0.000
T3,2016-02-19,4,FP,Caloneis.bacillum,0.000
T3,2016-02-19,19,FP,Caloneis.bacillum,0.000
T3,2016-02-19,9,S,Caloneis.bacillum,0.000
T3,2016-02-19,13,S,Caloneis.bacillum,0.000
T3,2016-02-19,21,S,Caloneis.bacillum,0.000
T3,2016-02-19,12,SP,Caloneis.bacillum,0.000
T3,2016-02-19,16,SP,Caloneis.bacillum,0.000
T3,2016-02-19,23,SP,Caloneis.bacillum,0.000
T4,2016-07-10,1,F,Caloneis.bacillum,0.000
T4,2016-07-10,6,F,Caloneis.bacillum,0.000
T4,2016-07-10,18,F,Caloneis.bacillum,0.000
T4,2016-07-10,8,FP,Caloneis.bacillum,0.000
T4,2016-07-10,19,FP,Caloneis.bacillum,0.000
T4,2016-07-10,9,S,Caloneis.bacillum,0.000
T4,2016-07-10,13,S,Caloneis.bacillum,0.000
T4,2016-07-10,21,S,Caloneis.bacillum,0.000
T4,2016-07-10,11,SP,Caloneis.bacillum,0.000
T4,2016-07-10,16,SP,Caloneis.bacillum,0.000
T1,2015-05-22,1,F,Caponea.caribbea,0.004
T1,2015-05-22,17,F,Caponea.caribbea,0.000
T1,2015-05-22,18,F,Caponea.caribbea,0.007
T1,2015-05-22,4,FP,Caponea.caribbea,0.003
T1,2015-05-22,8,FP,Caponea.caribbea,0.004
T1,2015-05-22,19,FP,Caponea.caribbea,0.000
T1,2015-05-22,9,S,Caponea.caribbea,0.008
T1,2015-05-22,14,S,Caponea.caribbea,0.282
T1,2015-05-22,21,S,Caponea.caribbea,0.000
T1,2015-05-22,12,SP,Caponea.caribbea,0.062
T1,2015-05-22,16,SP,Caponea.caribbea,0.034
T1,2015-05-22,24,SP,Caponea.caribbea,0.004
T2,2015-08-18,5,F,Caponea.caribbea,0.008
T2,2015-08-18,6,F,Caponea.caribbea,0.000
T2,2015-08-18,18,F,Caponea.caribbea,0.000
T2,2015-08-18,4,FP,Caponea.caribbea,0.000
T2,2015-08-18,7,FP,Caponea.caribbea,0.000
T2,2015-08-18,19,FP,Caponea.caribbea,0.000
T2,2015-08-18,9,S,Caponea.caribbea,0.008
T2,2015-08-18,10,S,Caponea.caribbea,0.012
T2,2015-08-18,13,S,Caponea.caribbea,0.000
T2,2015-08-18,12,SP,Caponea.caribbea,0.000
T2,2015-08-18,15,SP,Caponea.caribbea,0.000
T2,2015-08-18,24,SP,Caponea.caribbea,0.000
T3,2016-02-19,1,F,Caponea.caribbea,0.000
T3,2016-02-19,6,F,Caponea.caribbea,0.000
T3,2016-02-19,18,F,Caponea.caribbea,0.000
T3,2016-02-19,4,FP,Caponea.caribbea,0.000
T3,2016-02-19,19,FP,Caponea.caribbea,0.000
T3,2016-02-19,9,S,Caponea.caribbea,0.000
T3,2016-02-19,13,S,Caponea.caribbea,0.000
T3,2016-02-19,21,S,Caponea.caribbea,0.000
T3,2016-02-19,12,SP,Caponea.caribbea,0.000
T3,2016-02-19,16,SP,Caponea.caribbea,0.000
T3,2016-02-19,23,SP,Caponea.caribbea,0.000
T4,2016-07-10,1,F,Caponea.caribbea,0.000
T4,2016-07-10,6,F,Caponea.caribbea,0.002
T4,2016-07-10,18,F,Caponea.caribbea,0.000
T4,2016-07-10,8,FP,Caponea.caribbea,0.000
T4,2016-07-10,19,FP,Caponea.caribbea,0.000
T4,2016-07-10,9,S,Caponea.caribbea,0.000
T4,2016-07-10,13,S,Caponea.caribbea,0.000
T4,2016-07-10,21,S,Caponea.caribbea,0.000
T4,2016-07-10,11,SP,Caponea.caribbea,0.000
T4,2016-07-10,16,SP,Caponea.caribbea,0.000
T1,2015-05-22,1,F,Cyclotella.iris,0.000
T1,2015-05-22,17,F,Cyclotella.iris,0.000
T1,2015-05-22,18,F,Cyclotella.iris,0.000
T1,2015-05-22,4,FP,Cyclotella.iris,0.000
T1,2015-05-22,8,FP,Cyclotella.iris,0.000
T1,2015-05-22,19,FP,Cyclotella.iris,0.000
T1,2015-05-22,9,S,Cyclotella.iris,0.000
T1,2015-05-22,14,S,Cyclotella.iris,0.000
T1,2015-05-22,21,S,Cyclotella.iris,0.000
T1,2015-05-22,12,SP,Cyclotella.iris,0.000
T1,2015-05-22,16,SP,Cyclotella.iris,0.000
T1,2015-05-22,24,SP,Cyclotella.iris,0.000
T2,2015-08-18,5,F,Cyclotella.iris,0.000
T2,2015-08-18,6,F,Cyclotella.iris,0.000
T2,2015-08-18,18,F,Cyclotella.iris,0.000
T2,2015-08-18,4,FP,Cyclotella.iris,0.000
T2,2015-08-18,7,FP,Cyclotella.iris,0.000
T2,2015-08-18,19,FP,Cyclotella.iris,0.000
T2,2015-08-18,9,S,Cyclotella.iris,0.000
T2,2015-08-18,10,S,Cyclotella.iris,0.000
T2,2015-08-18,13,S,Cyclotella.iris,0.000
T2,2015-08-18,12,SP,Cyclotella.iris,0.000
T2,2015-08-18,15,SP,Cyclotella.iris,0.000
T2,2015-08-18,24,SP,Cyclotella.iris,0.000
T3,2016-02-19,1,F,Cyclotella.iris,0.000
T3,2016-02-19,6,F,Cyclotella.iris,0.000
T3,2016-02-19,18,F,Cyclotella.iris,0.000
T3,2016-02-19,4,FP,Cyclotella.iris,0.000
T3,2016-02-19,19,FP,Cyclotella.iris,0.005
T3,2016-02-19,9,S,Cyclotella.iris,0.000
T3,2016-02-19,13,S,Cyclotella.iris,0.000
T3,2016-02-19,21,S,Cyclotella.iris,0.000
T3,2016-02-19,12,SP,Cyclotella.iris,0.004
T3,2016-02-19,16,SP,Cyclotella.iris,0.000
T3,2016-02-19,23,SP,Cyclotella.iris,0.000
T4,2016-07-10,1,F,Cyclotella.iris,0.000
T4,2016-07-10,6,F,Cyclotella.iris,0.000
T4,2016-07-10,18,F,Cyclotella.iris,0.000
T4,2016-07-10,8,FP,Cyclotella.iris,0.000
T4,2016-07-10,19,FP,Cyclotella.iris,0.000
T4,2016-07-10,9,S,Cyclotella.iris,0.000
T4,2016-07-10,13,S,Cyclotella.iris,0.000
T4,2016-07-10,21,S,Cyclotella.iris,0.000
T4,2016-07-10,11,SP,Cyclotella.iris,0.000
T4,2016-07-10,16,SP,Cyclotella.iris,0.000
T1,2015-05-22,1,F,Diploneis.oblongella,0.004
T1,2015-05-22,17,F,Diploneis.oblongella,0.011
T1,2015-05-22,18,F,Diploneis.oblongella,0.010
T1,2015-05-22,4,FP,Diploneis.oblongella,0.000
T1,2015-05-22,8,FP,Diploneis.oblongella,0.004
T1,2015-05-22,19,FP,Diploneis.oblongella,0.018
T1,2015-05-22,9,S,Diploneis.oblongella,0.004
T1,2015-05-22,14,S,Diploneis.oblongella,0.004
T1,2015-05-22,21,S,Diploneis.oblongella,0.009
T1,2015-05-22,12,SP,Diploneis.oblongella,0.000
T1,2015-05-22,16,SP,Diploneis.oblongella,0.000
T1,2015-05-22,24,SP,Diploneis.oblongella,0.000
T2,2015-08-18,5,F,Diploneis.oblongella,0.002
T2,2015-08-18,6,F,Diploneis.oblongella,0.018
T2,2015-08-18,18,F,Diploneis.oblongella,0.011
T2,2015-08-18,4,FP,Diploneis.oblongella,0.000
T2,2015-08-18,7,FP,Diploneis.oblongella,0.000
T2,2015-08-18,19,FP,Diploneis.oblongella,0.011
T2,2015-08-18,9,S,Diploneis.oblongella,0.004
T2,2015-08-18,10,S,Diploneis.oblongella,0.012
T2,2015-08-18,13,S,Diploneis.oblongella,0.000
T2,2015-08-18,12,SP,Diploneis.oblongella,0.003
T2,2015-08-18,15,SP,Diploneis.oblongella,0.012
T2,2015-08-18,24,SP,Diploneis.oblongella,0.000
T3,2016-02-19,1,F,Diploneis.oblongella,0.000
T3,2016-02-19,6,F,Diploneis.oblongella,0.000
T3,2016-02-19,18,F,Diploneis.oblongella,0.000
T3,2016-02-19,4,FP,Diploneis.oblongella,0.004
T3,2016-02-19,19,FP,Diploneis.oblongella,0.000
T3,2016-02-19,9,S,Diploneis.oblongella,0.000
T3,2016-02-19,13,S,Diploneis.oblongella,0.000
T3,2016-02-19,21,S,Diploneis.oblongella,0.000
T3,2016-02-19,12,SP,Diploneis.oblongella,0.000
T3,2016-02-19,16,SP,Diploneis.oblongella,0.000
T3,2016-02-19,23,SP,Diploneis.oblongella,0.000
T4,2016-07-10,1,F,Diploneis.oblongella,0.000
T4,2016-07-10,6,F,Diploneis.oblongella,0.002
T4,2016-07-10,18,F,Diploneis.oblongella,0.002
T4,2016-07-10,8,FP,Diploneis.oblongella,0.000
T4,2016-07-10,19,FP,Diploneis.oblongella,0.000
T4,2016-07-10,9,S,Diploneis.oblongella,0.002
T4,2016-07-10,13,S,Diploneis.oblongella,0.000
T4,2016-07-10,21,S,Diploneis.oblongella,0.000
T4,2016-07-10,11,SP,Diploneis.oblongella,0.000
T4,2016-07-10,16,SP,Diploneis.oblongella,0.000
T1,2015-05-22,1,F,Diploneis.parma,0.004
T1,2015-05-22,17,F,Diploneis.parma,0.025
T1,2015-05-22,18,F,Diploneis.parma,0.014
T1,2015-05-22,4,FP,Diploneis.parma,0.003
T1,2015-05-22,8,FP,Diploneis.parma,0.002
T1,2015-05-22,19,FP,Diploneis.parma,0.004
T1,2015-05-22,9,S,Diploneis.parma,0.000
T1,2015-05-22,14,S,Diploneis.parma,0.000
T1,2015-05-22,21,S,Diploneis.parma,0.014
T1,2015-05-22,12,SP,Diploneis.parma,0.000
T1,2015-05-22,16,SP,Diploneis.parma,0.004
T1,2015-05-22,24,SP,Diploneis.parma,0.000
T2,2015-08-18,5,F,Diploneis.parma,0.050
T2,2015-08-18,6,F,Diploneis.parma,0.011
T2,2015-08-18,18,F,Diploneis.parma,0.015
T2,2015-08-18,4,FP,Diploneis.parma,0.011
T2,2015-08-18,7,FP,Diploneis.parma,0.040
T2,2015-08-18,19,FP,Diploneis.parma,0.004
T2,2015-08-18,9,S,Diploneis.parma,0.006
T2,2015-08-18,10,S,Diploneis.parma,0.008
T2,2015-08-18,13,S,Diploneis.parma,0.002
T2,2015-08-18,12,SP,Diploneis.parma,0.000
T2,2015-08-18,15,SP,Diploneis.parma,0.016
T2,2015-08-18,24,SP,Diploneis.parma,0.000
T3,2016-02-19,1,F,Diploneis.parma,0.000
T3,2016-02-19,6,F,Diploneis.parma,0.000
T3,2016-02-19,18,F,Diploneis.parma,0.000
T3,2016-02-19,4,FP,Diploneis.parma,0.000
T3,2016-02-19,19,FP,Diploneis.parma,0.007
T3,2016-02-19,9,S,Diploneis.parma,0.000
T3,2016-02-19,13,S,Diploneis.parma,0.000
T3,2016-02-19,21,S,Diploneis.parma,0.000
T3,2016-02-19,12,SP,Diploneis.parma,0.000
T3,2016-02-19,16,SP,Diploneis.parma,0.000
T3,2016-02-19,23,SP,Diploneis.parma,0.000
T4,2016-07-10,1,F,Diploneis.parma,0.000
T4,2016-07-10,6,F,Diploneis.parma,0.015
T4,2016-07-10,18,F,Diploneis.parma,0.000
T4,2016-07-10,8,FP,Diploneis.parma,0.000
T4,2016-07-10,19,FP,Diploneis.parma,0.000
T4,2016-07-10,9,S,Diploneis.parma,0.002
T4,2016-07-10,13,S,Diploneis.parma,0.000
T4,2016-07-10,21,S,Diploneis.parma,0.000
T4,2016-07-10,11,SP,Diploneis.parma,0.000
T4,2016-07-10,16,SP,Diploneis.parma,0.000
T1,2015-05-22,1,F,Diploneis.vmsp01,0.000
T1,2015-05-22,17,F,Diploneis.vmsp01,0.000
T1,2015-05-22,18,F,Diploneis.vmsp01,0.000
T1,2015-05-22,4,FP,Diploneis.vmsp01,0.000
T1,2015-05-22,8,FP,Diploneis.vmsp01,0.000
T1,2015-05-22,19,FP,Diploneis.vmsp01,0.000
T1,2015-05-22,9,S,Diploneis.vmsp01,0.000
T1,2015-05-22,14,S,Diploneis.vmsp01,0.015
T1,2015-05-22,21,S,Diploneis.vmsp01,0.005
T1,2015-05-22,12,SP,Diploneis.vmsp01,0.000
T1,2015-05-22,16,SP,Diploneis.vmsp01,0.000
T1,2015-05-22,24,SP,Diploneis.vmsp01,0.000
T2,2015-08-18,5,F,Diploneis.vmsp01,0.025
T2,2015-08-18,6,F,Diploneis.vmsp01,0.004
T2,2015-08-18,18,F,Diploneis.vmsp01,0.000
T2,2015-08-18,4,FP,Diploneis.vmsp01,0.011
T2,2015-08-18,7,FP,Diploneis.vmsp01,0.029
T2,2015-08-18,19,FP,Diploneis.vmsp01,0.000
T2,2015-08-18,9,S,Diploneis.vmsp01,0.000
T2,2015-08-18,10,S,Diploneis.vmsp01,0.002
T2,2015-08-18,13,S,Diploneis.vmsp01,0.002
T2,2015-08-18,12,SP,Diploneis.vmsp01,0.003
T2,2015-08-18,15,SP,Diploneis.vmsp01,0.000
T2,2015-08-18,24,SP,Diploneis.vmsp01,0.000
T3,2016-02-19,1,F,Diploneis.vmsp01,0.000
T3,2016-02-19,6,F,Diploneis.vmsp01,0.000
T3,2016-02-19,18,F,Diploneis.vmsp01,0.000
T3,2016-02-19,4,FP,Diploneis.vmsp01,0.000
T3,2016-02-19,19,FP,Diploneis.vmsp01,0.000
T3,2016-02-19,9,S,Diploneis.vmsp01,0.000
T3,2016-02-19,13,S,Diploneis.vmsp01,0.000
T3,2016-02-19,21,S,Diploneis.vmsp01,0.000
T3,2016-02-19,12,SP,Diploneis.vmsp01,0.000
T3,2016-02-19,16,SP,Diploneis.vmsp01,0.000
T3,2016-02-19,23,SP,Diploneis.vmsp01,0.000
T4,2016-07-10,1,F,Diploneis.vmsp01,0.000
T4,2016-07-10,6,F,Diploneis.vmsp01,0.000
T4,2016-07-10,18,F,Diploneis.vmsp01,0.000
T4,2016-07-10,8,FP,Diploneis.vmsp01,0.000
T4,2016-07-10,19,FP,Diploneis.vmsp01,0.000
T4,2016-07-10,9,S,Diploneis.vmsp01,0.000
T4,2016-07-10,13,S,Diploneis.vmsp01,0.000
T4,2016-07-10,21,S,Diploneis.vmsp01,0.000
T4,2016-07-10,11,SP,Diploneis.vmsp01,0.000
T4,2016-07-10,16,SP,Diploneis.vmsp01,0.000
T1,2015-05-22,1,F,Encyonopsis.microcephela,0.011
T1,2015-05-22,17,F,Encyonopsis.microcephela,0.018
T1,2015-05-22,18,F,Encyonopsis.microcephela,0.014
T1,2015-05-22,4,FP,Encyonopsis.microcephela,0.026
T1,2015-05-22,8,FP,Encyonopsis.microcephela,0.070
T1,2015-05-22,19,FP,Encyonopsis.microcephela,0.029
T1,2015-05-22,9,S,Encyonopsis.microcephela,0.011
T1,2015-05-22,14,S,Encyonopsis.microcephela,0.000
T1,2015-05-22,21,S,Encyonopsis.microcephela,0.014
T1,2015-05-22,12,SP,Encyonopsis.microcephela,0.002
T1,2015-05-22,16,SP,Encyonopsis.microcephela,0.004
T1,2015-05-22,24,SP,Encyonopsis.microcephela,0.004
T2,2015-08-18,5,F,Encyonopsis.microcephela,0.000
T2,2015-08-18,6,F,Encyonopsis.microcephela,0.000
T2,2015-08-18,18,F,Encyonopsis.microcephela,0.011
T2,2015-08-18,4,FP,Encyonopsis.microcephela,0.007
T2,2015-08-18,7,FP,Encyonopsis.microcephela,0.000
T2,2015-08-18,19,FP,Encyonopsis.microcephela,0.004
T2,2015-08-18,9,S,Encyonopsis.microcephela,0.000
T2,2015-08-18,10,S,Encyonopsis.microcephela,0.000
T2,2015-08-18,13,S,Encyonopsis.microcephela,0.000
T2,2015-08-18,12,SP,Encyonopsis.microcephela,0.000
T2,2015-08-18,15,SP,Encyonopsis.microcephela,0.002
T2,2015-08-18,24,SP,Encyonopsis.microcephela,0.000
T3,2016-02-19,1,F,Encyonopsis.microcephela,0.015
T3,2016-02-19,6,F,Encyonopsis.microcephela,0.000
T3,2016-02-19,18,F,Encyonopsis.microcephela,0.359
T3,2016-02-19,4,FP,Encyonopsis.microcephela,0.000
T3,2016-02-19,19,FP,Encyonopsis.microcephela,0.000
T3,2016-02-19,9,S,Encyonopsis.microcephela,0.000
T3,2016-02-19,13,S,Encyonopsis.microcephela,0.000
T3,2016-02-19,21,S,Encyonopsis.microcephela,0.000
T3,2016-02-19,12,SP,Encyonopsis.microcephela,0.000
T3,2016-02-19,16,SP,Encyonopsis.microcephela,0.000
T3,2016-02-19,23,SP,Encyonopsis.microcephela,0.000
T4,2016-07-10,1,F,Encyonopsis.microcephela,0.004
T4,2016-07-10,6,F,Encyonopsis.microcephela,0.000
T4,2016-07-10,18,F,Encyonopsis.microcephela,0.546
T4,2016-07-10,8,FP,Encyonopsis.microcephela,0.000
T4,2016-07-10,19,FP,Encyonopsis.microcephela,0.004
T4,2016-07-10,9,S,Encyonopsis.microcephela,0.000
T4,2016-07-10,13,S,Encyonopsis.microcephela,0.000
T4,2016-07-10,21,S,Encyonopsis.microcephela,0.000
T4,2016-07-10,11,SP,Encyonopsis.microcephela,0.000
T4,2016-07-10,16,SP,Encyonopsis.microcephela,0.000
T1,2015-05-22,1,F,Encyonema.evergladianum,0.084
T1,2015-05-22,17,F,Encyonema.evergladianum,0.141
T1,2015-05-22,18,F,Encyonema.evergladianum,0.062
T1,2015-05-22,4,FP,Encyonema.evergladianum,0.089
T1,2015-05-22,8,FP,Encyonema.evergladianum,0.208
T1,2015-05-22,19,FP,Encyonema.evergladianum,0.036
T1,2015-05-22,9,S,Encyonema.evergladianum,0.118
T1,2015-05-22,14,S,Encyonema.evergladianum,0.069
T1,2015-05-22,21,S,Encyonema.evergladianum,0.324
T1,2015-05-22,12,SP,Encyonema.evergladianum,0.045
T1,2015-05-22,16,SP,Encyonema.evergladianum,0.060
T1,2015-05-22,24,SP,Encyonema.evergladianum,0.081
T2,2015-08-18,5,F,Encyonema.evergladianum,0.012
T2,2015-08-18,6,F,Encyonema.evergladianum,0.004
T2,2015-08-18,18,F,Encyonema.evergladianum,0.040
T2,2015-08-18,4,FP,Encyonema.evergladianum,0.045
T2,2015-08-18,7,FP,Encyonema.evergladianum,0.007
T2,2015-08-18,19,FP,Encyonema.evergladianum,0.004
T2,2015-08-18,9,S,Encyonema.evergladianum,0.012
T2,2015-08-18,10,S,Encyonema.evergladianum,0.019
T2,2015-08-18,13,S,Encyonema.evergladianum,0.002
T2,2015-08-18,12,SP,Encyonema.evergladianum,0.003
T2,2015-08-18,15,SP,Encyonema.evergladianum,0.016
T2,2015-08-18,24,SP,Encyonema.evergladianum,0.010
T3,2016-02-19,1,F,Encyonema.evergladianum,0.002
T3,2016-02-19,6,F,Encyonema.evergladianum,0.000
T3,2016-02-19,18,F,Encyonema.evergladianum,0.023
T3,2016-02-19,4,FP,Encyonema.evergladianum,0.004
T3,2016-02-19,19,FP,Encyonema.evergladianum,0.000
T3,2016-02-19,9,S,Encyonema.evergladianum,0.000
T3,2016-02-19,13,S,Encyonema.evergladianum,0.000
T3,2016-02-19,21,S,Encyonema.evergladianum,0.000
T3,2016-02-19,12,SP,Encyonema.evergladianum,0.000
T3,2016-02-19,16,SP,Encyonema.evergladianum,0.000
T3,2016-02-19,23,SP,Encyonema.evergladianum,0.000
T4,2016-07-10,1,F,Encyonema.evergladianum,0.015
T4,2016-07-10,6,F,Encyonema.evergladianum,0.011
T4,2016-07-10,18,F,Encyonema.evergladianum,0.002
T4,2016-07-10,8,FP,Encyonema.evergladianum,0.002
T4,2016-07-10,19,FP,Encyonema.evergladianum,0.000
T4,2016-07-10,9,S,Encyonema.evergladianum,0.000
T4,2016-07-10,13,S,Encyonema.evergladianum,0.000
T4,2016-07-10,21,S,Encyonema.evergladianum,0.019
T4,2016-07-10,11,SP,Encyonema.evergladianum,0.011
T4,2016-07-10,16,SP,Encyonema.evergladianum,0.000
T1,2015-05-22,1,F,Encyonema.mesianum,0.008
T1,2015-05-22,17,F,Encyonema.mesianum,0.004
T1,2015-05-22,18,F,Encyonema.mesianum,0.010
T1,2015-05-22,4,FP,Encyonema.mesianum,0.003
T1,2015-05-22,8,FP,Encyonema.mesianum,0.032
T1,2015-05-22,19,FP,Encyonema.mesianum,0.000
T1,2015-05-22,9,S,Encyonema.mesianum,0.000
T1,2015-05-22,14,S,Encyonema.mesianum,0.002
T1,2015-05-22,21,S,Encyonema.mesianum,0.014
